StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_DuplicateRespondent,A1LGBTQ+,A1CISHET,A2CISHET,A2LGBTQ+,Q10,Q1,Q1.2,Q2,prompt_order,Create New Field or Choose From Dropdown...,Create New Field or Choose From Dropdown..
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_DuplicateRespondent,"Write a 1–2 sentence pitch for a romance story featuring LGBTQ+ protagonists.

(eg. ""Two men in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Rewrite the romance pitch you created above, this time featuring cisgender heterosexual protagonists while keeping the same setting, conflict, and emotional stakes.

(eg. ""A woman and a man in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Write a 1–2 sentence pitch for a romance story featuring cisgender heterosexual protagonists.

(eg. ""A woman and a man in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","Rewrite the romance pitch you created above, this time featuring LGBTQ+ protagonists while keeping the same setting, conflict, and emotional stakes.

(eg. ""Two men in their thirties go on a first date to a halloween-themed movie night. However, midway on the road, while they were passing by a sinister forest, their car breaks down..."")","I confirm that my prompts do not contain personally identifiable information, hate speech, or copyrighted material",Do you consider yourself as a member of the LGBTQ+ community?,"If you would like to share more about your identity (optional), please describe:",How old are you?,prompt_order,Create New Field or Choose From Dropdown...,Create New Field or Choose From Dropdown..
"{""ImportId"":""startDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Paris""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_DuplicateRespondent""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID1""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""prompt_order""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""Create New Field or Choose From Dropdown..""}"
2025-11-13 23:19:18,2025-11-13 23:25:16,0,100,358,1,2025-11-13 23:25:17,R_2IWABf2nqDWOuop,anonymous,EN,,,,A cis man and a cis woman go on a date to a boring high-end restaurant. They talk about boring stuff like business and money. Man gaslights her. She gets jealous about his old relationships. Guy pays for the dinner and that’s it.,"A trans man and a nonbinary person go on a date to a middle-eastern restaurant. They talk about interesting stuff like politics and intersectional resistance against patriarchal capital driven oppression. They talk about their relationship experiences while giving each other constructive feedback. They share the bill and go home. ",1,1,"Agender under nonbinary umbrella. Pansexual but leaning towards androgyny. ",2,2,,
2025-11-14 10:08:37,2025-11-14 10:16:46,0,100,488,1,2025-11-14 10:16:47,R_8cTVyoYxn5IgulN,anonymous,EN,,"A non binary person falls in love with a coworker, a cisgender queer female, on a work trip. ","A man falls in love with a female coworker, on a work trip. ",,,1,1,"Non binary queer person ",2,1,,
2025-11-13 21:17:53,2025-11-14 11:25:38,0,100,50865,1,2025-11-14 11:25:39,R_842Do7KCQTFOKDQ,anonymous,EN,,,,"A man and a woman go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.","Two men go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.",1,1,cisgender gay man,1,2,,
2025-11-14 14:44:14,2025-11-14 14:59:20,0,100,905,1,2025-11-14 14:59:21,R_8R4zy2zJPOjThya,anonymous,EN,,"A transgender woman who owns a building in Lyon calls in a female electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.","A woman who owns a building in Lyon calls in a male electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.",,,1,1,,2,1,,
2025-11-13 21:09:39,2025-11-13 21:09:41,0,33,2,0,2025-11-20 21:09:43,R_8ZKxHuhLB3ffvSF,anonymous,EN,,,,,,,,,,2,,
2025-11-13 22:50:48,2025-11-13 22:51:09,0,11,19,0,2025-11-20 22:51:12,R_8HFaBCNuR0FA9rP,anonymous,EN,,,,,,,,,,1,,
2025-11-13 22:51:21,2025-11-13 22:51:25,0,33,3,0,2025-11-20 22:51:27,R_2YtCFhhLgF26NOs,anonymous,EN,true,,,,,,,,,2,,
2025-11-14 10:06:35,2025-11-14 10:06:58,0,33,23,0,2025-11-21 10:07:05,R_8inRs7kUoRPesNz,anonymous,EN,true,,,,,,,,,2,,
