,Duration (in seconds),Finished,Duplicate Respondent,SOGI,SOGI details,Age,prompt_order,LGBTQ+,CISHET
0,358,True,True,Yes,Agender under nonbinary umbrella. Pansexual but leaning towards androgyny. ,25–34,2,A trans man and a nonbinary person go on a date to a middle-eastern restaurant. They talk about interesting stuff like politics and intersectional resistance against patriarchal capital driven oppression. They talk about their relationship experiences while giving each other constructive feedback. They share the bill and go home. ,A cis man and a cis woman go on a date to a boring high-end restaurant. They talk about boring stuff like business and money. Man gaslights her. She gets jealous about his old relationships. Guy pays for the dinner and that’s it.
1,488,True,True,Yes,Non binary queer person ,25–34,1,"A non binary person falls in love with a coworker, a cisgender queer female, on a work trip. ","A man falls in love with a female coworker, on a work trip. "
2,50865,True,True,Yes,cisgender gay man,18–24,2,"Two men go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss.","A man and a woman go on a first date to the fair. They enjoy some snacks, try out the different rides, bond over their fears and goals, and end the date with a kiss."
3,905,True,True,Yes,,25–34,1,"A transgender woman who owns a building in Lyon calls in a female electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening.","A woman who owns a building in Lyon calls in a male electrician to deal with a major power outage. As they work together, they bond over their shared love of Thomas Edison and as the lights come back on, they make plans to meet later that evening."
8,143,True,True,Yes,Lesbian,25–34,2,"A woman walk along a highway alone at night, a other woman stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights ","A woman walk along a highway alone at night, a man stop his car and take her for a ride. They spent hours listening too music's, looking at the city lights "
14,556,True,True,No,,18–24,2,"John was strolling through the Christmas market with his friends, when he stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous man blushing in front of him, stuttering over his words...","Julie was strolling through the Christmas market with her friends, when she stumbled and tripped right into a man's booth, knocking everything down. Matt looked up and saw a gorgeous woman blushing in front of him, stuttering over her words..."
15,884,True,True,Yes,"Gender: non-binary; trans 
Sexuality: pansexual ",18–24,1,"Two enbies, Blake and Sasha, decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. ","Jacklyn and Mohammed decided to go out after working in the same protest organisation for a few months. Exploring hardships, climate dread, outrage fatigue, the silences between them grew, and they now have to reconcile with the beauty and dread of humanity in the shape of two. "
16,666,True,True,Prefer not to say,,18–24,1,"Being all alone in the forest, the two men forget the meaning of too much information and start opening up about things one would never say on a first date becoming really intimate.","Stuck in the forest and anxious about being with a fairly strange person, the couple starts getting into fights about small nitpicks in each others' behaviors coping with the situation."
17,92,True,True,Yes,,18–24,1,"Two women are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…","A man and a woman are moving in together after a 6 months long relationship, but secrets start to unfold on the way to the new apartment…"
18,151,True,True,Yes,,18–24,2,Two women in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.,A man and a woman in their twenties are stuck together in a ferris wheel at an amusement park. Their time together alone brought them closer together and started a new spark between the two.
